Provincias;Grupo penal;periodo;Total
Araba/Álava;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;0
Araba/Álava;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2021;1
Araba/Álava;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2020;0
Araba/Álava;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2019;0
Araba/Álava;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2018;1
Araba/Álava;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2017;0
Araba/Álava;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2016;1
Araba/Álava;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2015;1
Araba/Álava;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2014;0
Araba/Álava;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2013;0
Araba/Álava;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2012;1
Araba/Álava;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2011;1
Araba/Álava;DELITOS SEXUALES;2024;18
Araba/Álava;DELITOS SEXUALES;2023;25
Araba/Álava;DELITOS SEXUALES;2022;5
Araba/Álava;DELITOS SEXUALES;2021;6
Araba/Álava;DELITOS SEXUALES;2020;9
Araba/Álava;DELITOS SEXUALES;2019;7
Araba/Álava;DELITOS SEXUALES;2018;26
Araba/Álava;DELITOS SEXUALES;2017;6
Araba/Álava;DELITOS SEXUALES;2016;6
Araba/Álava;DELITOS SEXUALES;2015;10
Araba/Álava;DELITOS SEXUALES;2014;5
Araba/Álava;DELITOS SEXUALES;2013;0
Araba/Álava;DELITOS SEXUALES;2012;4
Araba/Álava;DELITOS SEXUALES;2011;3
Araba/Álava;FALSIFICACIÓN INFORMÁTICA;2024;197
Araba/Álava;FALSIFICACIÓN INFORMÁTICA;2023;201
Araba/Álava;FALSIFICACIÓN INFORMÁTICA;2022;205
Araba/Álava;FALSIFICACIÓN INFORMÁTICA;2021;142
Araba/Álava;FALSIFICACIÓN INFORMÁTICA;2020;93
Araba/Álava;FALSIFICACIÓN INFORMÁTICA;2019;72
Araba/Álava;FALSIFICACIÓN INFORMÁTICA;2018;59
Araba/Álava;FALSIFICACIÓN INFORMÁTICA;2017;50
Araba/Álava;FALSIFICACIÓN INFORMÁTICA;2016;49
Araba/Álava;FALSIFICACIÓN INFORMÁTICA;2015;31
Araba/Álava;FALSIFICACIÓN INFORMÁTICA;2014;1
Araba/Álava;FALSIFICACIÓN INFORMÁTICA;2013;4
Araba/Álava;FALSIFICACIÓN INFORMÁTICA;2012;3
Araba/Álava;FALSIFICACIÓN INFORMÁTICA;2011;4
Araba/Álava;FRAUDE INFORMÁTICO;2024;3.953
Araba/Álava;FRAUDE INFORMÁTICO;2023;4.139
Araba/Álava;FRAUDE INFORMÁTICO;2022;3.186
Araba/Álava;FRAUDE INFORMÁTICO;2021;2.333
Araba/Álava;FRAUDE INFORMÁTICO;2020;2.721
Araba/Álava;FRAUDE INFORMÁTICO;2019;2.443
Araba/Álava;FRAUDE INFORMÁTICO;2018;2.128
Araba/Álava;FRAUDE INFORMÁTICO;2017;1.456
Araba/Álava;FRAUDE INFORMÁTICO;2016;1.112
Araba/Álava;FRAUDE INFORMÁTICO;2015;916
Araba/Álava;FRAUDE INFORMÁTICO;2014;29
Araba/Álava;FRAUDE INFORMÁTICO;2013;56
Araba/Álava;FRAUDE INFORMÁTICO;2012;35
Araba/Álava;FRAUDE INFORMÁTICO;2011;17
Araba/Álava;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;4
Araba/Álava;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;5
Araba/Álava;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;10
Araba/Álava;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2021;11
Araba/Álava;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2020;10
Araba/Álava;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2019;20
Araba/Álava;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2018;13
Araba/Álava;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2017;12
Araba/Álava;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2016;15
Araba/Álava;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2015;24
Araba/Álava;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2014;0
Araba/Álava;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2013;1
Araba/Álava;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2012;2
Araba/Álava;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2011;2
Araba/Álava;TOTAL grupo penal;2024;4.440
Araba/Álava;TOTAL grupo penal;2023;4.653
Araba/Álava;TOTAL grupo penal;2022;3.561
Araba/Álava;TOTAL grupo penal;2021;2.624
Araba/Álava;TOTAL grupo penal;2020;2.919
Araba/Álava;TOTAL grupo penal;2019;2.619
Araba/Álava;TOTAL grupo penal;2018;2.315
Araba/Álava;TOTAL grupo penal;2017;1.595
Araba/Álava;TOTAL grupo penal;2016;1.220
Araba/Álava;TOTAL grupo penal;2015;1.031
Araba/Álava;TOTAL grupo penal;2014;38
Araba/Álava;TOTAL grupo penal;2013;70
Araba/Álava;TOTAL grupo penal;2012;51
Araba/Álava;TOTAL grupo penal;2011;31
Albacete;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;84
Albacete;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;47
Albacete;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;57
Albacete;ACCESO  E INTERCEPTACIÓN ILÍCITA;2021;41
Albacete;ACCESO  E INTERCEPTACIÓN ILÍCITA;2020;23
