codigo_ine;Provincias;Grupo penal;periodo;Total_Hechos;Poblacion_Provincial;CCAA;Tasa_Criminalidad;Peso_Tipologia
07;balears;contra_la_propiedad_industrial/intelectual;2023;4;1231768;Islas Baleares;0.0032;0.0348280365694384
07;balears;contra_la_propiedad_industrial/intelectual;2024;1;1249844;Islas Baleares;0.0008;0.0077202192542268205
07;balears;delitos_sexuales;2022;60;1209906;Islas Baleares;0.0496;0.6895759108148489
07;balears;delitos_sexuales;2023;60;1231768;Islas Baleares;0.0487;0.5224205485415759
07;balears;delitos_sexuales;2024;57;1249844;Islas Baleares;0.0456;0.44005249749092873
07;balears;falsificacion_informatica;2022;313;1209906;Islas Baleares;0.2587;3.597287668084128
07;balears;falsificacion_informatica;2023;258;1231768;Islas Baleares;0.2095;2.2464083587287766
07;balears;falsificacion_informatica;2024;433;1249844;Islas Baleares;0.3464;3.3428549370802134
07;balears;interferencia_en_los_datos_y_en_el_sistema;2022;39;1209906;Islas Baleares;0.0322;0.4482243420296518
07;balears;interferencia_en_los_datos_y_en_el_sistema;2023;48;1231768;Islas Baleares;0.039;0.4179364388332608
07;balears;interferencia_en_los_datos_y_en_el_sistema;2024;41;1249844;Islas Baleares;0.0328;0.3165289894232996
08;barcelona;acceso__e_interceptacion_ilicita;2022;513;5797356;Cataluña;0.0885;1.102917463934814
08;barcelona;acceso__e_interceptacion_ilicita;2023;541;5877672;Cataluña;0.092;0.984370166851653
08;barcelona;acceso__e_interceptacion_ilicita;2024;567;5959941;Cataluña;0.0951;1.0131332082551596
08;barcelona;amenazas_y_coacciones;2022;495;5797356;Cataluña;0.0854;1.0642186055511362
08;barcelona;amenazas_y_coacciones;2023;476;5877672;Cataluña;0.081;0.8661001837733584
08;barcelona;amenazas_y_coacciones;2024;636;5959941;Cataluña;0.1067;1.1364245510586974
08;barcelona;contra_el_honor;2022;9;5797356;Cataluña;0.0016;0.01934942919183884
08;barcelona;contra_el_honor;2023;8;5877672;Cataluña;0.0014;0.014556305609636274
08;barcelona;contra_el_honor;2024;14;5959941;Cataluña;0.0023;0.025015634771732333
08;barcelona;contra_la_propiedad_industrial/intelectual;2022;9;5797356;Cataluña;0.0016;0.01934942919183884
08;barcelona;contra_la_propiedad_industrial/intelectual;2023;7;5877672;Cataluña;0.0012;0.01273676740843174
08;barcelona;contra_la_propiedad_industrial/intelectual;2024;22;5959941;Cataluña;0.0037;0.03931028321272224
08;barcelona;delitos_sexuales;2022;143;5797356;Cataluña;0.0247;0.30744093049255045
08;barcelona;delitos_sexuales;2023;108;5877672;Cataluña;0.0184;0.19651012573008972
08;barcelona;delitos_sexuales;2024;142;5959941;Cataluña;0.0238;0.2537300098275708
08;barcelona;falsificacion_informatica;2022;252;5797356;Cataluña;0.0435;0.5417840173714875
08;barcelona;falsificacion_informatica;2023;254;5877672;Cataluña;0.0432;0.46216270310595176
08;barcelona;falsificacion_informatica;2024;1195;5959941;Cataluña;0.2005;2.135263110872867
08;barcelona;interferencia_en_los_datos_y_en_el_sistema;2022;71;5797356;Cataluña;0.0122;0.15264549695783974
08;barcelona;interferencia_en_los_datos_y_en_el_sistema;2023;71;5877672;Cataluña;0.0121;0.12918721228552194
08;barcelona;interferencia_en_los_datos_y_en_el_sistema;2024;57;5959941;Cataluña;0.0096;0.10184937014205307
48;bizkaia;acceso__e_interceptacion_ilicita;2022;138;1153282;País Vasco;0.1197;1.223729715349827
48;bizkaia;acceso__e_interceptacion_ilicita;2023;153;1159368;País Vasco;0.132;1.0559006211180124
48;bizkaia;acceso__e_interceptacion_ilicita;2024;162;1167233;País Vasco;0.1388;1.200533570475767
48;bizkaia;amenazas_y_coacciones;2022;447;1153282;País Vasco;0.3876;3.963820164937484
48;bizkaia;amenazas_y_coacciones;2023;648;1159368;País Vasco;0.5589;4.472049689440994
48;bizkaia;amenazas_y_coacciones;2024;646;1167233;País Vasco;0.5534;4.787312879798429
48;bizkaia;contra_el_honor;2022;3;1153282;País Vasco;0.0026;0.026602819898909287
48;bizkaia;contra_el_honor;2023;1;1159368;País Vasco;0.0009;0.006901311249137337
48;bizkaia;contra_el_honor;2024;4;1167233;País Vasco;0.0034;0.029642804209278194
48;bizkaia;contra_la_propiedad_industrial/intelectual;2022;3;1153282;País Vasco;0.0026;0.026602819898909287
48;bizkaia;contra_la_propiedad_industrial/intelectual;2023;4;1159368;País Vasco;0.0035;0.027605244996549348
48;bizkaia;contra_la_propiedad_industrial/intelectual;2024;8;1167233;País Vasco;0.0069;0.05928560841855639
48;bizkaia;delitos_sexuales;2022;37;1153282;País Vasco;0.0321;0.3281014454198812
48;bizkaia;delitos_sexuales;2023;34;1159368;País Vasco;0.0293;0.23464458247066944
48;bizkaia;delitos_sexuales;2024;35;1167233;País Vasco;0.03;0.2593745368311842
48;bizkaia;falsificacion_informatica;2022;521;1153282;País Vasco;0.4518;4.620023055777246
48;bizkaia;falsificacion_informatica;2023;578;1159368;País Vasco;0.4985;3.9889579020013803
48;bizkaia;falsificacion_informatica;2024;573;1167233;País Vasco;0.4909;4.246331702979102
48;bizkaia;interferencia_en_los_datos_y_en_el_sistema;2022;25;1153282;País Vasco;0.0217;0.22169016582424406
48;bizkaia;interferencia_en_los_datos_y_en_el_sistema;2023;11;1159368;País Vasco;0.0095;0.0759144237405107
48;bizkaia;interferencia_en_los_datos_y_en_el_sistema;2024;10;1167233;País Vasco;0.0086;0.07410701052319549
09;burgos;acceso__e_interceptacion_ilicita;2022;34;357370;Castilla y León;0.0951;1.2048192771084338
09;burgos;acceso__e_interceptacion_ilicita;2023;38;359740;Castilla y León;0.1056;1.0674157303370786
09;burgos;acceso__e_interceptacion_ilicita;2024;62;362663;Castilla y León;0.171;1.8479880774962745
09;burgos;amenazas_y_coacciones;2022;139;357370;Castilla y León;0.389;4.925584691708009
09;burgos;amenazas_y_coacciones;2023;128;359740;Castilla y León;0.3558;3.5955056179775284
09;burgos;amenazas_y_coacciones;2024;134;362663;Castilla y León;0.3695;3.994038748137109
09;burgos;contra_el_honor;2022;6;357370;Castilla y León;0.0168;0.21261516654854712
09;burgos;contra_el_honor;2023;4;359740;Castilla y León;0.0111;0.11235955056179776
09;burgos;contra_el_honor;2024;3;362663;Castilla y León;0.0083;0.08941877794336811
09;burgos;contra_la_propiedad_industrial/intelectual;2022;0;357370;Castilla y León;0.0;0.0
09;burgos;contra_la_propiedad_industrial/intelectual;2023;1;359740;Castilla y León;0.0028;0.02808988764044944
09;burgos;contra_la_propiedad_industrial/intelectual;2024;0;362663;Castilla y León;0.0;0.0
09;burgos;delitos_sexuales;2022;7;357370;Castilla y León;0.0196;0.24805102763997164
09;burgos;delitos_sexuales;2023;7;359740;Castilla y León;0.0195;0.19662921348314608
09;burgos;delitos_sexuales;2024;12;362663;Castilla y León;0.0331;0.35767511177347244
09;burgos;falsificacion_informatica;2022;115;357370;Castilla y León;0.3218;4.07512402551382
09;burgos;falsificacion_informatica;2023;156;359740;Castilla y León;0.4336;4.382022471910112
09;burgos;falsificacion_informatica;2024;129;362663;Castilla y León;0.3557;3.845007451564829
09;burgos;interferencia_en_los_datos_y_en_el_sistema;2022;16;357370;Castilla y León;0.0448;0.5669737774627923
09;burgos;interferencia_en_los_datos_y_en_el_sistema;2023;21;359740;Castilla y León;0.0584;0.5898876404494382
09;burgos;interferencia_en_los_datos_y_en_el_sistema;2024;15;362663;Castilla y León;0.0414;0.44709388971684055
10;caceres;acceso__e_interceptacion_ilicita;2022;41;388257;Extremadura;0.1056;1.6796394920114706
10;caceres;acceso__e_interceptacion_ilicita;2023;41;388652;Extremadura;0.1055;1.3073979591836735
10;caceres;acceso__e_interceptacion_ilicita;2024;83;388190;Extremadura;0.2138;2.6834788231490463
10;caceres;amenazas_y_coacciones;2022;111;388257;Extremadura;0.2859;4.547316673494469
10;caceres;amenazas_y_coacciones;2023;132;388652;Extremadura;0.3396;4.209183673469387
10;caceres;amenazas_y_coacciones;2024;158;388190;Extremadura;0.407;5.108309085030714
10;caceres;contra_el_honor;2022;24;388257;Extremadura;0.0618;0.9832036050798854
10;caceres;contra_el_honor;2023;13;388652;Extremadura;0.0334;0.4145408163265306
10;caceres;contra_el_honor;2024;30;388190;Extremadura;0.0773;0.9699321047526674
10;caceres;contra_la_propiedad_industrial/intelectual;2022;0;388257;Extremadura;0.0;0.0
10;caceres;contra_la_propiedad_industrial/intelectual;2023;0;388652;Extremadura;0.0;0.0
10;caceres;contra_la_propiedad_industrial/intelectual;2024;1;388190;Extremadura;0.0026;0.032331070158422244
10;caceres;delitos_sexuales;2022;14;388257;Extremadura;0.0361;0.5735354362965998
10;caceres;delitos_sexuales;2023;18;388652;Extremadura;0.0463;0.5739795918367347
10;caceres;delitos_sexuales;2024;10;388190;Extremadura;0.0258;0.3233107015842224
10;caceres;falsificacion_informatica;2022;92;388257;Extremadura;0.237;3.768947152806227
10;caceres;falsificacion_informatica;2023;272;388652;Extremadura;0.6999;8.673469387755102
10;caceres;falsificacion_informatica;2024;427;388190;Extremadura;1.1;13.805366957646298
