codigo_ine;Provincias;Grupo penal;periodo;Total_Hechos;Poblacion_Provincial;CCAA;Tasa_Criminalidad;Peso_Fraude;VAR_pct
34;palencia;fraude_informatico;2022;1274;157787;Castilla y León;8.0742;91.52298850574712;
34;palencia;fraude_informatico;2023;1324;158063;Castilla y León;8.3764;92.07232267037551;3.9246467817896313
34;palencia;fraude_informatico;2024;1432;158702;Castilla y León;9.0232;87.3170731707317;8.157099697885206
35;palmas;fraude_informatico;2022;6853;1145843;Canarias;5.9807;85.08815495406009;
35;palmas;fraude_informatico;2023;9152;1159890;Canarias;7.8904;88.48496567726966;33.54735152487962
35;palmas;fraude_informatico;2024;8401;1171547;Canarias;7.1709;88.30145049400883;-8.205856643356647
36;pontevedra;fraude_informatico;2022;7034;946710;Galicia;7.4299;87.54200373366523;
36;pontevedra;fraude_informatico;2023;7379;947869;Galicia;7.7848;86.53688284273484;4.9047483650838775
36;pontevedra;fraude_informatico;2024;7701;947818;Galicia;8.125;84.12715752676425;4.363734923431362
26;rioja;fraude_informatico;2022;2152;322282;La Rioja;6.6774;88.4504726674887;
26;rioja;fraude_informatico;2023;2021;324184;La Rioja;6.2341;85.4906937394247;-6.087360594795543
26;rioja;fraude_informatico;2024;1868;326803;La Rioja;5.716;80.79584775086505;-7.570509648688772
37;salamanca;fraude_informatico;2022;3002;327089;Castilla y León;9.1779;85.57582668187001;
37;salamanca;fraude_informatico;2023;3221;327552;Castilla y León;9.8336;84.74085766903447;7.295136575616246
37;salamanca;fraude_informatico;2024;3167;328446;Castilla y León;9.6424;83.1670168067227;-1.6764979819931747
38;santa_cruz_de_tenerife;fraude_informatico;2022;4846;1067173;Canarias;4.541;86.07460035523978;
38;santa_cruz_de_tenerife;fraude_informatico;2023;6600;1078864;Canarias;6.1175;90.06550218340611;36.1947998349154
38;santa_cruz_de_tenerife;fraude_informatico;2024;6363;1087319;Canarias;5.852;87.85033825762805;-3.590909090909089
40;segovia;fraude_informatico;2022;1110;155332;Castilla y León;7.146;85.38461538461539;
40;segovia;fraude_informatico;2023;1655;156620;Castilla y León;10.567;89.21832884097036;49.09909909909911
40;segovia;fraude_informatico;2024;1731;158251;Castilla y León;10.9383;90.86614173228347;4.592145015105742
41;sevilla;fraude_informatico;2022;12850;1959394;Andalucía;6.5582;88.07402330363261;
41;sevilla;fraude_informatico;2023;17022;1968624;Andalucía;8.6466;89.77374611043722;32.466926070038916
41;sevilla;fraude_informatico;2024;16998;1977664;Andalucía;8.595;87.7633209417596;-0.14099400775466897
42;soria;fraude_informatico;2022;961;89528;Castilla y León;10.7341;92.13806327900288;
42;soria;fraude_informatico;2023;1120;90073;Castilla y León;12.4344;91.27954360228199;16.545265348595215
42;soria;fraude_informatico;2024;893;90183;Castilla y León;9.9021;88.59126984126983;-20.26785714285714
43;tarragona;fraude_informatico;2022;5906;848592;Cataluña;6.9598;95.64372469635629;
43;tarragona;fraude_informatico;2023;7586;861744;Cataluña;8.8031;96.89615531996424;28.445648493057906
43;tarragona;fraude_informatico;2024;7152;875530;Cataluña;8.1688;91.11988788380685;-5.721065119957814
44;teruel;fraude_informatico;2022;775;135046;Aragón;5.7388;90.74941451990632;
44;teruel;fraude_informatico;2023;1154;135309;Aragón;8.5286;89.52676493405741;48.90322580645161
44;teruel;fraude_informatico;2024;1129;136091;Aragón;8.2959;87.18146718146717;-2.166377816291165
45;toledo;fraude_informatico;2022;4800;731112;Castilla-La Mancha;6.5653;83.96011894350184;
45;toledo;fraude_informatico;2023;6284;743165;Castilla-La Mancha;8.4557;87.37486095661846;30.916666666666657
45;toledo;fraude_informatico;2024;5848;755081;Castilla-La Mancha;7.7449;86.47050125683869;-6.938255887969447
46;valencia;fraude_informatico;2022;15623;2656841;C. Valenciana;5.8803;85.12040971995205;
46;valencia;fraude_informatico;2023;21967;2710808;C. Valenciana;8.1035;87.19831692600826;40.60679767010178
46;valencia;fraude_informatico;2024;21457;2763996;C. Valenciana;7.763;87.7192265238543;-2.321664314653804
47;valladolid;fraude_informatico;2022;4775;521333;Castilla y León;9.1592;90.3671461014383;
47;valladolid;fraude_informatico;2023;5393;525116;Castilla y León;10.2701;89.00808714309292;12.942408376963343
47;valladolid;fraude_informatico;2024;5339;528644;Castilla y León;10.0994;87.91371644986003;-1.0012979788614818
49;zamora;fraude_informatico;2022;874;166927;Castilla y León;5.2358;89.36605316973414;
49;zamora;fraude_informatico;2023;1262;166253;Castilla y León;7.5908;89.31351733899504;44.39359267734553
49;zamora;fraude_informatico;2024;1212;165564;Castilla y León;7.3204;88.33819241982506;-3.961965134706813
50;zaragoza;fraude_informatico;2022;6568;979365;Aragón;6.7064;90.88141690881417;
50;zaragoza;fraude_informatico;2023;7861;987763;Aragón;7.9584;89.50244791073665;19.6863580998782
50;zaragoza;fraude_informatico;2024;7946;998443;Aragón;7.9584;89.21073313124509;1.0812873680193347
