Provincias;Grupo penal;periodo;Total_Hechos;Poblacion_Provincial;CCAA;Tasa_Criminalidad;codigo_ine;Total_Provincial;Peso_Tipologia;Peso_Fraude;VAR_pct
leon;contra_el_honor;2022;24;448573;Castilla y León;0.0535;24;3757;0.6388075592227841;;
leon;contra_el_honor;2023;31;447802;Castilla y León;0.0692;24;4354;0.7119889756545705;;29.166666666666675
leon;contra_el_honor;2024;19;448030;Castilla y León;0.0424;24;4525;0.4198895027624309;;-38.70967741935484
leon;contra_la_propiedad_industrial/intelectual;2022;1;448573;Castilla y León;0.0022;24;3757;0.026616981634282673;;
leon;contra_la_propiedad_industrial/intelectual;2023;0;447802;Castilla y León;0.0;24;4354;0.0;;-100.0
leon;contra_la_propiedad_industrial/intelectual;2024;9;448030;Castilla y León;0.0201;24;4525;0.1988950276243094;;inf
leon;delitos_sexuales;2022;22;448573;Castilla y León;0.049;24;3757;0.5855735959542188;;
leon;delitos_sexuales;2023;29;447802;Castilla y León;0.0648;24;4354;0.6660542030316949;;31.818181818181813
leon;delitos_sexuales;2024;22;448030;Castilla y León;0.0491;24;4525;0.48618784530386744;;-24.13793103448276
leon;falsificacion_informatica;2022;78;448573;Castilla y León;0.1739;24;3757;2.0761245674740483;;
leon;falsificacion_informatica;2023;173;447802;Castilla y León;0.3863;24;4354;3.973357831878732;;121.79487179487181
leon;falsificacion_informatica;2024;218;448030;Castilla y León;0.4866;24;4525;4.81767955801105;;26.011560693641613
leon;fraude_informatico;2022;3373;448573;Castilla y León;7.5194;24;3757;89.77907905243545;89.77907905243545;
leon;fraude_informatico;2023;3858;447802;Castilla y León;8.6154;24;4354;88.60817638952688;88.60817638952688;14.378891194782085
leon;fraude_informatico;2024;3966;448030;Castilla y León;8.8521;24;4525;87.64640883977901;87.64640883977901;2.7993779160186527
leon;interferencia_en_los_datos_y_en_el_sistema;2022;23;448573;Castilla y León;0.0513;24;3757;0.6121905775885015;;
leon;interferencia_en_los_datos_y_en_el_sistema;2023;27;447802;Castilla y León;0.0603;24;4354;0.6201194304088194;;17.391304347826097
leon;interferencia_en_los_datos_y_en_el_sistema;2024;38;448030;Castilla y León;0.0848;24;4525;0.8397790055248618;;40.74074074074075
lleida;acceso__e_interceptacion_ilicita;2022;98;447343;Cataluña;0.2191;25;4071;2.407270940800786;;
lleida;acceso__e_interceptacion_ilicita;2023;88;451707;Cataluña;0.1948;25;4745;1.8545837723919916;;-10.204081632653061
lleida;acceso__e_interceptacion_ilicita;2024;68;458226;Cataluña;0.1484;25;4267;1.593625498007968;;-22.72727272727273
lleida;amenazas_y_coacciones;2022;88;447343;Cataluña;0.1967;25;4071;2.1616310488823385;;
lleida;amenazas_y_coacciones;2023;96;451707;Cataluña;0.2125;25;4745;2.0231822971548996;;9.090909090909083
lleida;amenazas_y_coacciones;2024;106;458226;Cataluña;0.2313;25;4267;2.4841809233653622;;10.416666666666675
lleida;contra_el_honor;2022;3;447343;Cataluña;0.0067;25;4071;0.07369196757553427;;
lleida;contra_el_honor;2023;3;451707;Cataluña;0.0066;25;4745;0.06322444678609061;;0.0
lleida;contra_el_honor;2024;4;458226;Cataluña;0.0087;25;4267;0.0937426763534099;;33.33333333333333
lleida;contra_la_propiedad_industrial/intelectual;2022;1;447343;Cataluña;0.0022;25;4071;0.024563989191844753;;
lleida;contra_la_propiedad_industrial/intelectual;2023;1;451707;Cataluña;0.0022;25;4745;0.021074815595363543;;0.0
lleida;contra_la_propiedad_industrial/intelectual;2024;0;458226;Cataluña;0.0;25;4267;0.0;;-100.0
lleida;delitos_sexuales;2022;5;447343;Cataluña;0.0112;25;4071;0.12281994595922378;;
lleida;delitos_sexuales;2023;8;451707;Cataluña;0.0177;25;4745;0.16859852476290835;;60.00000000000001
lleida;delitos_sexuales;2024;11;458226;Cataluña;0.024;25;4267;0.25779235997187716;;37.5
